"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-10-13","12:11:00",6654.98,"1 Oct 13 6655 C BTO 10.65 | 1 Oct 13 6735 C BTO 0.10 | 2 Oct 13 6695 C STO 0.60",-960,6654.72,"2025-10-13","16:00:00",0,"Expired",-965,1,1220874.88,960,"R2. Jiji ORB Call Butterfly",5,0,0.11,0.667,19.51,18.94,70.02,32.45,56.77,-100
"2025-10-13","10:10:00",6649.47,"1 Oct 15 6610 P STO 23.85 | 1 Oct 15 6755 C STO 3.40 | 1 Oct 17 6610 P BTO 36.00 | 1 Oct 17 6755 C BTO 10.50",-1940,6655.44,"2025-10-13","15:59:00",-1765,"Backtest Completed",-189.4,1,1221839.88,1940,"R7. Gabo - DC SPX Lunes 2/4 VIX 9D",7.2,7.2,0.59,0.468,19.72,18.96,70.02,26.94,1.29,-19.07
"2025-10-13","09:45:00",6634.09,"1 Oct 13 6385 P BTO 0.35",-35,6654.72,"2025-10-13","16:00:00",0,"Expired",-35,1,1220839.88,35,"Blackswan hedge",0,0,0,0,20.25,18.94,70.02,11.56,28.57,-100
"2025-10-10","09:45:00",6758.68,"1 Oct 10 6630 P BTO 0.35",-35,6552.51,"2025-10-10","16:00:00",-7749,"Expired",7714,1,1226391.78,35,"Blackswan hedge",0,0,0,0,16.38,21.99,5.38,18.19,22414.29,-28.57
"2025-10-10","09:35:00",6748.05,"1 Oct 10 6720 P STO 3.80 | 1 Oct 10 6770 C STO 2.35 | 1 Oct 10 6695 P BTO 1.65 | 1 Oct 10 6795 C BTO 0.25",405,6552.51,"2025-10-10","16:00:00",2500,"Expired",-2100,1,1224291.78,2095,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.24,1.176,16.48,21.99,5.38,7.56,49.38,-529.63
"2025-10-10","09:32:00",6749.27,"1 Oct 10 6725 P STO 4.45 | 1 Oct 10 6700 P BTO 1.90",240,6552.51,"2025-10-10","16:00:00",2500,"Expired",-2262.5,1,1222029.28,2260,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.34,1.17,16.44,21.99,5.38,8.78,50,-954.17
"2025-10-09","09:45:00",6750.78,"1 Oct 9 6620 P BTO 0.40",-40,6735.11,"2025-10-09","16:00:00",0,"Expired",-40,1,1219024.28,40,"Blackswan hedge",0,0,0,0,16.51,16.42,6.78,-9.72,12.5,-100
"2025-10-09","09:35:00",6757.07,"1 Oct 9 6735 P STO 3.25 | 1 Oct 9 6775 C STO 2.50 | 1 Oct 9 6710 P BTO 1.30 | 1 Oct 9 6800 C BTO 0.20",405,6735.11,"2025-10-09","16:00:00",0,"Expired",400,1,1219424.28,2095,"VIX UP 9:35 Iron Condor 20 DELTA 25 WIDE - Mx GAP Version",5,0,3.83,9.5,16.37,16.42,6.78,-3.43,100,-264.2
"2025-10-09","09:32:00",6763.02,"1 Oct 9 6745 P STO 4.25 | 1 Oct 9 6720 P BTO 1.65",245,6735.11,"2025-10-09","16:00:00",989,"Expired",-746.5,1,1218677.78,2255,"9. MAD VIX UP 5/40 Opening Put Spread",2.5,0,2.58,206,16.35,16.42,6.78,2.52,0,-767.35
"2025-10-08","15:40:00",6752.34,"1 Oct 9 6755 P STO 13.45 | 1 Oct 9 6790 C STO 1.15 | 1 Oct 13 6755 P BTO 25.80 | 1 Oct 15 6790 C BTO 19.10",-3050,6724.71,"2025-10-09","13:55:00",-1960,"Exited at Specified Time",-1100,1,1219064.28,3050,"R5. Jeevan Double Calender 20%  - Wed only - 1 con",5,5,0.33,0.61,16.41,16.95,9.28,28.47,8.52,-42.46
